id,name,year,iso_code,is_cancelled,created_at,updated_at,category,ticket_class
1573,Slizzer,2013,442,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,1,invited
1574,Masta Mic,2013,643,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,1,invited
1575,Grison,2013,724,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,1,invited
1576,Hans Beatbox,2013,756,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,1,invited
1577,Camero,2013,756,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,1,invited
1578,Faya Braz,2013,250,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,1,invited
1579,Scott Jackson,2013,124,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,1,invited
1580,K.I.M.,2013,250,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,4,invited
1581,Robeat,2013,276,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,4,invited
1582,Tatsuya,2013,392,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,4,invited
1583,Doeme,2013,348,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,4,invited
1584,Alem,2013,250,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,4,invited
1585,Dharni,2013,702,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,4,invited
1586,Yason,2013,826,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,4,invited
1587,Keumart,2013,756,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,4,invited
1588,Two.H,2013,410,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,4,invited
1589,Primitiv,2013,56,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,4,invited
1590,Beat Rhino,2013,840,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,4,Wildcard 1
1591,Sh0h,2013,392,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,4,Wildcard 2
1592,Babeli,2013,276,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,4,Wildcard 3
1593,Gasu,2014,724,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,1,Wildcard 1
1594,Faya Braz,2014,250,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,1,invited
1595,Keumart,2014,756,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,1,invited
1596,Camero,2014,756,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,1,invited
1597,Hobbit,2014,826,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,1,invited
1598,Degree,2014,276,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,1,invited
1599,Penkyx,2014,56,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,1,invited
1600,Grison,2014,724,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,1,invited
1601,Dharni,2014,702,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,4,GBB13 1st
1602,Alexinho,2014,250,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,4,Wildcard 1
1603,Markooz,2014,724,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,4,Wildcard 2
1604,Wawad,2014,250,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,4,Wildcard 3
1605,B-Art,2014,528,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,4,Wildcard 4
1606,K.I.M.,2014,250,false,2025-07-12T06:36:36.836Z,2025-07-12T06:36:36.836Z,4,Wildcard 5
